"Station.ID" "Date" "dem" "x" "y" "WS" "temp" "HMIX" "PREC" "EMI" "PM10" "time" "logPM10"
"138" 18 2005-10-06 201.7 483.16 4956.77 1.11 286.27 721.95 4.13 15.18 39 6 3.66356164612965
"139" 19 2005-10-06 374.9 368.18 4971.65 0.89 286.08 1130.1 7.58 27.37 12 6 2.484906649788
"140" 20 2005-10-06 243.6 393.64 4986.79 0.99 286.34 1203.3 2.87 239.72 21 6 3.04452243772342
"141" 21 2005-10-06 243.6 396.04 4992.42 1.08 286.66 1292.7 4.5 221.03 35 6 3.55534806148941
"142" 22 2005-10-06 118.5 489 4971.8 1.11 286.67 692.29 4.29 33.47 24 6 3.17805383034795
"143" 23 2005-10-06 131 454.26 5019.81 0.97 286.22 359.87 6.45 31.26 24 6 3.17805383034795
"144" 24 2005-10-06 201.4 466.4 5086.6 1.17 287.11 503.8 0 23.14 10 6 2.30258509299405
"145" 1 2005-10-07 95.2 469.45 4972.85 2.23 287.48 492.98 8.18 41.6 25 7 3.2188758248682
"146" 2 2005-10-07 164.1 423.48 4950.69 1.32 286.36 445.29 7.47 23.68 17 7 2.83321334405622
"147" 3 2005-10-07 242.9 490.71 4948.86 0.7 286.33 917.35 5.22 8.7 22 7 3.09104245335832
"148" 4 2005-10-07 149.9 437.36 4973.34 1.94 286.57 406.93 10.26 37.07 19 7 2.94443897916644
"149" 5 2005-10-07 405 426.44 5045.66 1 285.34 830.43 14.19 40.68 15 7 2.70805020110221
"150" 6 2005-10-07 257.5 394.6 5001.18 1.33 286.25 789.54 11.7 51.99 20 7 2.99573227355399
"151" 7 2005-10-07 313.2 457.96 5061.46 1.34 285.5 758.38 18.61 25.47 16 7 2.77258872223978
"152" 8 2005-10-07 345.2 444.29 5062.64 1.35 284.79 702.61 20.71 16.64 13 7 2.56494935746154
"153" 9 2005-10-07 331 376.96 4993.48 0.59 285.42 767.62 15.08 25.49 17 7 2.83321334405622
"154" 10 2005-10-07 280.4 416.65 4985.65 1.17 285.9 479.87 15.33 7.37 14 7 2.63905732961526
"155" 11 2005-10-07 238.8 399.22 4967.87 1.45 286.33 749.09 15.74 16.82 20 7 2.99573227355399
"156" 12 2005-10-07 118.3 456.49 4998.42 1.54 287.09 419.93 14.33 32.34 9 7 2.19722457733622
"157" 13 2005-10-07 124.7 483.36 5028.7 1.5 287.15 337.85 7.97 10.42 NA 7 NA
"158" 14 2005-10-07 551.6 383.63 4915.52 1.17 284.36 487.63 43.31 31.07 NA 7 NA
"159" 15 2005-10-07 271.7 436.69 5046.69 1.25 285.55 797.42 16.41 24.54 17 7 2.83321334405622
"160" 16 2005-10-07 337 386.95 5003.68 1.07 285.93 786.39 14.97 11.89 15 7 2.70805020110221
"161" 17 2005-10-07 154 470.41 5031.91 1.59 286.46 374.85 18.59 47.52 14 7 2.63905732961526
"162" 18 2005-10-07 201.7 483.16 4956.77 1.27 287.06 641.22 4.73 16.07 23 7 3.13549421592915
"163" 19 2005-10-07 374.9 368.18 4971.65 0.79 285.38 745.1 24.09 29.11 11 7 2.39789527279837
"164" 20 2005-10-07 243.6 393.64 4986.79 0.86 286.05 785.13 16.39 255.31 18 7 2.89037175789616
"165" 21 2005-10-07 243.6 396.04 4992.42 0.93 286.3 823.65 17.98 236.92 31 7 3.43398720448515
"166" 22 2005-10-07 118.5 489 4971.8 1.91 287.46 567.85 5.59 35.19 13 7 2.56494935746154
"167" 23 2005-10-07 131 454.26 5019.81 1.45 286.45 393.66 11.45 33.38 29 7 3.36729582998647
"168" 24 2005-10-07 201.4 466.4 5086.6 2.4 286.39 569.62 15.03 24.59 12 7 2.484906649788
"169" 1 2005-10-08 95.2 469.45 4972.85 1.06 288.17 500.42 0 26.05 27 8 3.29583686600433
"170" 2 2005-10-08 164.1 423.48 4950.69 0.7 287.77 538.48 0 18.74 NA 8 NA
"171" 3 2005-10-08 242.9 490.71 4948.86 0.7 286.31 385.9 0 6.28 23 8 3.13549421592915
"172" 4 2005-10-08 149.9 437.36 4973.34 1.33 287.92 858.3 0 29.35 33 8 3.49650756146648
"173" 5 2005-10-08 405 426.44 5045.66 1.02 287.33 1120.2 0 32.19 19 8 2.94443897916644
"174" 6 2005-10-08 257.5 394.6 5001.18 1.07 287.88 1138 0 34.24 26 8 3.25809653802148
"175" 7 2005-10-08 313.2 457.96 5061.46 1.43 287.24 1326.3 0 17.53 14 8 2.63905732961526
"176" 8 2005-10-08 345.2 444.29 5062.64 1.33 286.84 1202.8 0 11.97 13 8 2.56494935746154
"177" 9 2005-10-08 331 376.96 4993.48 0.84 286.75 1212.3 0 16.15 20 8 2.99573227355399
"178" 10 2005-10-08 280.4 416.65 4985.65 1.06 287.46 1030.8 0 5.93 14 8 2.63905732961526
"179" 11 2005-10-08 238.8 399.22 4967.87 0.72 287.7 1086.7 2.62 14.11 22 8 3.09104245335832
"180" 12 2005-10-08 118.3 456.49 4998.42 1.2 288.12 457.39 0 25.54 6 8 1.79175946922805
"181" 13 2005-10-08 124.7 483.36 5028.7 1.2 288.15 698.78 0 7.02 NA 8 NA
"182" 14 2005-10-08 551.6 383.63 4915.52 0.99 286.44 1232.6 2.46 24.09 7 8 1.94591014905531
"183" 15 2005-10-08 271.7 436.69 5046.69 1.2 287.33 1028.2 0 19.26 16 8 2.77258872223978
"184" 16 2005-10-08 337 386.95 5003.68 0.87 287.48 1151.2 0 7.08 16 8 2.77258872223978
"185" 17 2005-10-08 154 470.41 5031.91 1.43 287.61 647.48 0 36.7 12 8 2.484906649788
"186" 18 2005-10-08 201.7 483.16 4956.77 0.8 287.23 450.75 1.37 12.22 24 8 3.17805383034795
"187" 19 2005-10-08 374.9 368.18 4971.65 0.84 287.83 1188.3 0 23.6 7 8 1.94591014905531
"188" 20 2005-10-08 243.6 393.64 4986.79 0.77 287.82 1161.5 0 187.11 18 8 2.89037175789616
"189" 21 2005-10-08 243.6 396.04 4992.42 0.78 288.23 1232.4 0 184.5 32 8 3.46573590279973
"190" 22 2005-10-08 118.5 489 4971.8 0.84 287.81 486.8 1.14 22.45 12 8 2.484906649788
"191" 23 2005-10-08 131 454.26 5019.81 0.95 287.79 749.34 0 26.15 24 8 3.17805383034795
"192" 24 2005-10-08 201.4 466.4 5086.6 1.56 288.98 643.06 0 16.78 NA 8 NA
"193" 1 2005-10-09 95.2 469.45 4972.85 0.84 287.86 917.25 0 22.21 37 9 3.61091791264422
"194" 2 2005-10-09 164.1 423.48 4950.69 0.65 288.2 949.23 0 15.37 17 9 2.83321334405622
"195" 3 2005-10-09 242.9 490.71 4948.86 0.66 286.51 992.76 0 5.24 NA 9 NA
"196" 4 2005-10-09 149.9 437.36 4973.34 1.11 288.41 915.36 0 25.09 8 9 2.07944154167984
"197" 5 2005-10-09 405 426.44 5045.66 0.53 287.93 995.58 0 26.45 34 9 3.52636052461616
"198" 6 2005-10-09 257.5 394.6 5001.18 0.99 289.25 1076.4 0 26.23 35 9 3.55534806148941
"199" 7 2005-10-09 313.2 457.96 5061.46 0.96 287.39 997.56 0 14.42 30 9 3.40119738166216
"200" 8 2005-10-09 345.2 444.29 5062.64 0.86 287.52 997.94 0 9.26 24 9 3.17805383034795
"201" 9 2005-10-09 331 376.96 4993.48 0.7 287.44 1024.6 0 12.92 30 9 3.40119738166216
"202" 10 2005-10-09 280.4 416.65 4985.65 0.72 287.95 932.58 0 5.27 5 9 1.6094379124341
"203" 11 2005-10-09 238.8 399.22 4967.87 0.67 287.58 981.66 0 12.51 34 9 3.52636052461616
"204" 12 2005-10-09 118.3 456.49 4998.42 0.95 288.83 919.8 0 21.08 24 9 3.17805383034795
"205" 13 2005-10-09 124.7 483.36 5028.7 0.81 288.64 745.1 0 5.74 NA 9 NA
"206" 14 2005-10-09 551.6 383.63 4915.52 1.02 286.3 945.47 0 18.7 15 9 2.70805020110221
"207" 15 2005-10-09 271.7 436.69 5046.69 0.64 288.01 959.34 0 15.05 31 9 3.43398720448515
"208" 16 2005-10-09 337 386.95 5003.68 0.74 288.66 1053.8 0 5.34 NA 9 NA
"209" 17 2005-10-09 154 470.41 5031.91 0.96 288.26 670.21 0 28.38 25 9 3.2188758248682
"210" 18 2005-10-09 201.7 483.16 4956.77 0.68 286.96 924.04 0 9.6 31 9 3.43398720448515
"211" 19 2005-10-09 374.9 368.18 4971.65 0.85 288.74 1063.3 0 19.66 22 9 3.09104245335832
"212" 20 2005-10-09 243.6 393.64 4986.79 0.55 288.56 1050 0 145.86 27 9 3.29583686600433
"213" 21 2005-10-09 243.6 396.04 4992.42 0.58 289.32 1115.4 0 150.31 43 9 3.76120011569356
"214" 22 2005-10-09 118.5 489 4971.8 0.74 287.44 854.78 0 18.32 19 9 2.94443897916644
"215" 23 2005-10-09 131 454.26 5019.81 0.77 288.03 761.15 0 21.82 40 9 3.68887945411394
"216" 24 2005-10-09 201.4 466.4 5086.6 1.33 289.83 640.42 0 13.96 NA 9 NA
"217" 1 2005-10-10 95.2 469.45 4972.85 1.19 287.09 1065.9 0 37.94 53 10 3.97029191355212
"218" 2 2005-10-10 164.1 423.48 4950.69 0.81 287.95 1122.8 0 21.19 30 10 3.40119738166216
"219" 3 2005-10-10 242.9 490.71 4948.86 0.9 285.94 1283.7 0 7.94 46 10 3.8286413964891
"220" 4 2005-10-10 149.9 437.36 4973.34 1.56 287.89 1019.6 0 32.8 49 10 3.89182029811063
"221" 5 2005-10-10 405 426.44 5045.66 0.52 286.86 954.81 0 35.98 55 10 4.00733318523247
"222" 6 2005-10-10 257.5 394.6 5001.18 0.83 288.11 978.56 0 47.61 62 10 4.12713438504509
"223" 7 2005-10-10 313.2 457.96 5061.46 0.86 285.86 1017.4 0 22.94 44 10 3.78418963391826
"224" 8 2005-10-10 345.2 444.29 5062.64 0.78 286.13 942.94 0 15.03 54 10 3.98898404656427
"225" 9 2005-10-10 331 376.96 4993.48 0.42 286.62 882.32 0 23.46 54 10 3.98898404656427
"226" 10 2005-10-10 280.4 416.65 4985.65 0.82 287.36 983.33 0 6.77 41 10 3.71357206670431
"227" 11 2005-10-10 238.8 399.22 4967.87 0.68 287.98 998.69 0 15.19 71 10 4.26267987704132
"228" 12 2005-10-10 118.3 456.49 4998.42 1.28 287.78 1132.6 0 28.86 31 10 3.43398720448515
"229" 13 2005-10-10 124.7 483.36 5028.7 1.28 287.66 960.67 0 9.66 NA 10 NA
"230" 14 2005-10-10 551.6 383.63 4915.52 0.81 286.45 923.67 0 28 35 10 3.55534806148941
"231" 15 2005-10-10 271.7 436.69 5046.69 0.71 286.79 979.73 0 21.9 50 10 3.91202300542815
"232" 16 2005-10-10 337 386.95 5003.68 0.66 287.7 945.41 1.11 11.06 37 10 3.61091791264422
"233" 17 2005-10-10 154 470.41 5031.91 1.51 287.27 848.09 0 42.53 54 10 3.98898404656427
"234" 18 2005-10-10 201.7 483.16 4956.77 1.11 286.57 1223.2 0 14.49 40 10 3.68887945411394
"235" 19 2005-10-10 374.9 368.18 4971.65 0.61 287.58 896.55 0 25.94 51 10 3.93182563272433
"236" 20 2005-10-10 243.6 393.64 4986.79 0.51 287.84 1000.1 0 227.62 60 10 4.0943445622221
"237" 21 2005-10-10 243.6 396.04 4992.42 0.61 288.15 1049.7 0 208.71 94 10 4.54329478227
"238" 22 2005-10-10 118.5 489 4971.8 1.09 286.93 1009.9 0 32.14 32 10 3.46573590279973
"239" 23 2005-10-10 131 454.26 5019.81 1.11 286.84 837.12 0 29.65 64 10 4.15888308335967
"240" 24 2005-10-10 201.4 466.4 5086.6 0.71 287.2 467.48 0 22.02 34 10 3.52636052461616
"241" 1 2005-10-11 95.2 469.45 4972.85 1.26 286.1 1299.7 0 37.87 66 11 4.18965474202643
"242" 2 2005-10-11 164.1 423.48 4950.69 0.76 286.62 1231.7 0 21.09 48 11 3.87120101090789
"243" 3 2005-10-11 242.9 490.71 4948.86 0.9 284.74 1314.8 0 7.93 60 11 4.0943445622221
