yy;mm;banda;SiteID;Tmax;Elevation;x;y
2020;1;60;aeronautica_6883;15.535483870967742;8.166955947875977;807.6839084489704;4202.385179496009
1961;1;1;aeronautica_6889;NA;11.63696575164795;963.8591323894682;4116.833687641667
1962;1;2;aeronautica_6889;NA;11.63696575164795;963.8591323894682;4116.833687641667
1963;1;3;aeronautica_6889;NA;11.63696575164795;963.8591323894682;4116.833687641667
1964;1;4;aeronautica_6889;NA;11.63696575164795;963.8591323894682;4116.833687641667
1965;1;5;aeronautica_6889;NA;11.63696575164795;963.8591323894682;4116.833687641667
1966;1;6;aeronautica_6889;16.112903225806452;11.63696575164795;963.8591323894682;4116.833687641667
1967;1;7;aeronautica_6889;15.95;11.63696575164795;963.8591323894682;4116.833687641667
1968;1;8;aeronautica_6889;15.426923076923076;11.63696575164795;963.8591323894682;4116.833687641667
1969;1;9;aeronautica_6889;15.42;11.63696575164795;963.8591323894682;4116.833687641667
1970;1;10;aeronautica_6889;16.548387096774192;11.63696575164795;963.8591323894682;4116.833687641667
1971;1;11;aeronautica_6889;15.856666666666667;11.63696575164795;963.8591323894682;4116.833687641667
1972;1;12;aeronautica_6889;15.763333333333334;11.63696575164795;963.8591323894682;4116.833687641667
1973;1;13;aeronautica_6889;15.693548387096774;11.63696575164795;963.8591323894682;4116.833687641667
1974;1;14;aeronautica_6889;16.81935483870968;11.63696575164795;963.8591323894682;4116.833687641667
1975;1;15;aeronautica_6889;17.35483870967742;11.63696575164795;963.8591323894682;4116.833687641667
1976;1;16;aeronautica_6889;16.006451612903227;11.63696575164795;963.8591323894682;4116.833687641667
1977;1;17;aeronautica_6889;15.619354838709677;11.63696575164795;963.8591323894682;4116.833687641667
1978;1;18;aeronautica_6889;15.570967741935483;11.63696575164795;963.8591323894682;4116.833687641667
1979;1;19;aeronautica_6889;15.709677419354838;11.63696575164795;963.8591323894682;4116.833687641667
1980;1;20;aeronautica_6889;15.477419354838709;11.63696575164795;963.8591323894682;4116.833687641667
1981;1;21;aeronautica_6889;14.135483870967741;11.63696575164795;963.8591323894682;4116.833687641667
1982;1;22;aeronautica_6889;16.451612903225808;11.63696575164795;963.8591323894682;4116.833687641667
1983;1;23;aeronautica_6889;15.332258064516129;11.63696575164795;963.8591323894682;4116.833687641667
1984;1;24;aeronautica_6889;15.567741935483872;11.63696575164795;963.8591323894682;4116.833687641667
1985;1;25;aeronautica_6889;15.551612903225807;11.63696575164795;963.8591323894682;4116.833687641667
